X.1,90%
1901-1910,93.1
1911-1920,95.3
1921-1930,94.8
1931-1940,95.5
1941-1950,96
1951-1960,94.7
1961-1970,95.1
1971-1980,93.9
1981-1990,95.4
1991-2000,94.8
2001-2010,94.3
2011-2019,94.3
