X.1,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2019
Heavy (35.5-244.5 mm),40.4,40.7,40.9,42.5,42.1,41.2,41.1,41.6,41.8,42.1,42.2,42.6
Extreme (>244.5 mm),0.2,0.3,0.4,0.3,0.4,0.3,0.4,0.8,1,0.9,0.9,0.8
